iata,nom
FRVNE,VANNES
FRLRT,LORIENT
FRUIP,QUIMPER
FRRSP,ROSPORDEN
FRECO,QUIMPERLE
FRXUY,AURAY
FRXRN,REDON
FRSAB,SABLE SUR SARTHE
FRSNR,ST NAZAIRE
FREGU,LE CROISIC
FRJEE,LA BAULE ESCOUBLAC
FRLSO,LES SABLES D'OLONNE
CHAJD,ZURICH HB
CHAJP,BASEL SBB
ITMPG,MILANO PORTA GARIBALDI
ITTRS,TORINO PORTA SUSA
ITOCS,OUX CESANA CLAV SESTRIERE
FRAGR,MODANE
FRHPN,ST JEAN DE MAURIENNE ARVAN
FRFRA,FRASNE
CHAJF,LAUSANNE
CHAGL,VALLORBE
FRMCD,MOUCHARD
DEZPA,OFFENBURG
DEANL,LAHR SCHWARZW
DERSH,RINGSHEIM EUROPA PARK
DEFRH,FRANKFURT AM MAIN HBF
DEMHG,MANNHEIM HBF
DEKLT,KAISERSLAUTERN HBF
DESBK,SAARBRUECKEN/SARREBRUCK
FRBQT,FORBACH
DEQKA,KARLSRUHE HBF
DESGT,STUTTGART HBF
DEQUL,ULM HBF
DEAGB,AUGSBURG HBF
DEZCC,BADEN BADEN
DEBGB,BERLIN-GESUNDBRUNNEN
DEHBF,BERLIN HBF
DEHBS,BERLIN SUDKREUZ
DEZHZ,HALLE (SAALE) HBF
DEERF,ERFURT HBF
DEFRS,FRANKFURT (MAIN) SUD
ESBST,BARCELONA SANTS
ESGRO,GIRONA
ESFIR,FIGUERES VILAFANT
CHGVA,GENEVE CORNAVIN
FRXBF,BELLEGARDE SUR VALSERINE GARE
FRXBK,BOURG EN BRESSE
FRHQN,NURIEUX GARE
BEBMI,BRUXELLES MIDI
FRFPH,ST GAUDENS
FRMTJ,MONTREJEAU GOURDAN POLIGNAN
FRLNZ,LANNEMEZAN
FRIMK,MAGALAS
FRIMH,BEDARIEUX
FRIMG,LE BOUSQUET D'ORB
FRIMC,CEILHES ROQUEREDONDE
FRINO,TOURNEMIRE ROQUEFORT
FRINN,SAINT ROME DE CERNON
FRINM,SAINT GEORGES DE LUZENCON
FRMAU,MILLAU
FRSVC,SEVERAC LE CHATEAU
FRINJ,CAMPAGNAC ST GENIEZ
FRINH,BANASSAC LA CANOURGUE
FRLMR,LE MONASTIER
FRINE,MARVEJOLS
FRINC,AUMONT AUBRAC
FRINB,SAINT CHELY D'APCHER
FRIMW,ST FLOUR CHAUDES AIGUES
FRNEU,NEUSSARGUES
FRHMY,MASSIAC BLESLE
FRARV,ARVANT
FRHLE,BRASSAC LES MINES STE FLORINE
FRHLB,ISSOIRE
FRBHA,COMMERCY
FRPFJ,LEROUVILLE CENTRE
FRSIA,SAMPIGNY CENTRE
FRSHY,SAINT MIHIEL DETENTION
FRPFI,SAINT MIHIEL
FRSHZ,FRESNES AU MONT
FRPFH,PIERREFITTE SUR AIRE
FRKGD,COMMERCY ZONE DU SEUGNON
FRXVN,VERDUN
FRLPZ,SOUILLY
FRQAM,AMIENS
FRXSJ,SAINT QUENTIN
FRFSB,GRAMAT
FRFSA,ROCAMADOUR PADIRAC
FRSDM,ST DENIS PRES MARTEL
FRSZE,SAINCAIZE
FRXAV,ALBERTVILLE
FRQMU,MOUTIERS SALINS BRIDES LES BAINS
FRQAI,AIME LA PLAGNE
FRHPG,LANDRY
DEFGB,FREIBURG (BREISGAU) HBF
DEBEG,MUNCHEN HBF
FRQBM,BOURG SAINT MAURICE
FRGHA,ST VINCENT DE TYROSSE
FRQNJ,ANNEMASSE
FRHTZ,CLUSES (HAUTE SAVOIE)
FRXSN,SALLANCHES COMBLOUX MEGEVE
FRXTS,THONON LES BAINS
FRFCJ,LA TESTE
FREGR,PORNICHET
FREGS,LE POULIGUEN
FREFN,ANCENIS
FRXVR,ST MICHEL VALLOIRE
FRHOJ,SAINT AVRE LA CHAMBRE
FRXGF,ST GERVAIS LES BAINS LE FAYET
FRXEB,EVIAN LES BAINS
FRAFJ,ALBI VILLE
FRAMA,ALBI MADELEINE
FRFWA,CARMAUX
FRFWF,NAUCELLE
FRLAI,LANNION
ITOCS,TBD
ITABV,TBD
ITMPG,TBD
ITABV,TORINO LINGOTTO
FRIFP,LUC EN DIOIS
